,cause,cluster,dist,frequency,beta,p_value,tsne_x,tsne_y,"type: sci, news, expanded",new cluster after granger test
276,sharply,0,3.63918,64273,-2.8208,0.168124562,19.16555023,47.08565521,news,
277,whether,3,4.03182,845218,0.718,0.16825715600000002,38.40279388,20.13768005,expanded,
278,consumption,0,3.88102,112485,-2.6264,0.16882500949999998,8.977039337,44.43766022,expanded,
279,study,3,4.13186,414916,-3.3711,0.1688858051,25.08313942,11.88090324,news,
280,particularly,3,3.5761300000000005,574195,-3.6057,0.16906710960000002,25.88586044,19.00186348,expanded,
281,dropping,0,3.36688,58856,-4.4152,0.1701754974,22.98622322,58.88100815,news,
282,currency,0,4.10513,448773,0.4244,0.170577571,27.27559471,62.53396606,news,
283,pricing,0,4.26382,63830,3.9053,0.17075438489999997,23.61389923,29.52146912,news,
284,attributed,0,4.06338,134386,1.1583,0.170962118,25.04144287,25.95822334,expanded,
285,rate,0,3.31009,4239443,3.9049,0.17114026699999998,6.471960068,57.3907547,news,
286,fallen,0,3.4847099999999998,140614,0.6521,0.17127933690000002,18.26549339,59.90356827,news,
287,growing,3,3.9942300000000004,524363,-4.1582,0.17141743559999997,6.945794582,32.05786514,news,
288,transition,3,3.25982,341110,2.417,0.1720288729,19.19103813,16.2854557,news,
289,devastating,1,4.20055,114091,1.7616,0.1721095223,-4.913080692,-43.39102936,expanded,
290,affect,3,3.07393,820988,0.7627,0.17229935429999998,3.425932407,8.003127098,expanded,
291,sort,3,3.8106,482028,3.4927,0.1727407323,34.29837418,15.94860077,news,
292,supposed,3,3.76646,276986,1.8701,0.1727485888,36.20757675,13.74663925,expanded,
293,pressures,0,3.8676,55710,2.9217,0.17379032379999998,11.66382408,33.49477386,expanded,
294,persists,4,4.20149,19006,1.4344,0.1742274736,3.2402639389999996,-31.86700439,news,
295,evolution,3,4.129519999999999,250631,0.88,0.1743046662,15.67397118,11.28588772,sci,
296,standoff,4,4.16935,31807,-3.2239,0.1743684496,18.47675896,-33.39704895,news,
297,gains,0,3.06345,2864677,-3.7923,0.1753436302,26.904926300000003,52.5369606,expanded,
298,pathogens,2,3.7002300000000004,11306,4.2814,0.1754548486,-50.57981873,17.22236252,news,
299,predicted,3,3.61176,75631,-3.8153,0.17547901170000002,35.23630142,36.81402969,news,
300,despite,0,3.9137699999999995,893771,3.0248,0.17549404780000002,25.84019852,-6.663553715,news,
301,rising,0,2.47388,602707,-3.9692,0.1756080079,16.8620739,55.57168961,expanded,
302,impact,3,2.7659,597030,0.9704,0.1760937743,6.308010101,9.941532135,news,
303,take,3,3.9784300000000004,3517885,-1.2425,0.1760948925,39.86954498,16.05867386,news,
304,example,3,3.6689199999999995,473574,3.6755,0.17614298899999997,26.33896255,17.56803131,news,
305,darfur,4,4.1592,165337,-2.3866,0.1762689725,51.6033783,-44.33684921,news,
306,fear,3,4.18105,724931,-4.2299,0.1771024954,19.09835434,-11.42557049,expanded,
307,grew,0,4.0195099999999995,155487,4.6882,0.1771107361,27.15143776,31.39797211,expanded,
308,pest,2,3.22119,96162,0.4014,0.1771652682,-45.08465958,21.36371613,expanded,
309,premium,0,3.9960699999999996,242647,-0.9411,0.17764133199999999,39.66291809,53.83114243,expanded,
310,unrest,4,4.20329,150908,0.4637,0.1781158477,20.53694916,-47.46412277,news,
311,fall,0,2.69663,894429,1.9698,0.1785670929,29.72916794,37.14664078,expanded,
312,increasing,0,3.6856400000000002,559246,0.8397,0.178630328,10.90305138,35.92453003,news,
313,higher,0,2.72244,501617,0.8798,0.17890922829999997,9.468884467999999,58.85106659,expanded,
314,persisted,4,4.30207,22221,2.5202,0.17935940039999998,4.040940762,-33.01233292,news,
315,balkan,4,3.9009300000000002,25073,-2.609,0.17971938440000002,46.68155289,-45.7793808,news,
316,fungus,2,4.3202300000000005,9129,-4.2855,0.17986668739999997,-48.56167603,19.04662704,expanded,
317,over,0,4.24084,7476576,-0.1495,0.18021615370000002,28.01078987,-6.914109707000001,news,
318,earnings,0,3.55767,151855,-0.3082,0.18077470699999998,34.55552292,56.25191498,news,
319,increased,0,3.13423,594350,1.2124,0.181070498,11.32411003,37.93932724,expanded,
320,it,3,4.0404800000000005,10538270,-4.218999999999999,0.18112282219999998,34.77381897,21.47708893,expanded,
321,bring,3,3.6485,1179952,-1.8747,0.18191672820000002,40.27974319,13.67690754,news,
322,progress,3,3.33295,763995,-3.2043,0.1819808579,23.48941422,2.783377171,expanded,
323,weak,0,3.7414099999999997,436279,2.4047,0.18240511199999998,22.35142517,44.5933876,expanded,
324,particular,3,3.50032,907664,0.1353,0.1825912348,26.79496193,17.48009491,news,
325,rises,0,3.35016,417033,0.4469,0.182732578,16.8308239,57.29987335,news,
326,difficulties,4,4.15255,116009,3.3373,0.1829767477,17.56104469,-3.884365797,news,
327,development,3,4.09465,2023049,-3.227,0.1829774498,9.185896872999999,18.03672218,expanded,
328,integration,3,4.0601,173020,4.2392,0.1831528006,19.16146851,8.705544472,expanded,
329,anticipated,0,3.5702300000000005,102364,1.9679,0.1832716371,33.79249573,34.0526886,expanded,
330,emergence,3,4.104509999999999,83209,3.8458,0.18347324629999998,14.127569199999998,12.728120800000001,news,
331,inevitable,3,3.85479,54590,2.6426,0.18391269899999999,7.995305061,-10.73148632,news,
332,view,3,3.4264099999999997,1799638,-1.8708,0.18397584170000003,28.87121964,19.35106277,sci,
333,planning,3,4.13492,428574,-3.2837,0.1848564925,50.072284700000004,-5.889134884,news,
334,threat,3,3.84289,1049999,-3.6825,0.1852700286,21.78316689,-10.39659786,news,
335,bloodshed,4,3.60569,65625,3.9464,0.1854313141,22.33781242,-43.29373932,sci,
336,intensified,4,4.09039,81512,2.7098,0.18574504100000003,14.57391262,-31.96774292,news,
337,rapid,3,4.09658,252779,2.0608,0.1858718741,1.479346275,31.77456093,expanded,
338,problem,3,3.56034,1225797,-1.9997,0.18621498190000002,12.51779747,0.3236074746,sci,
339,sell,0,4.20047,686375,-1.4639,0.18624237329999999,42.69289398,55.79268646,expanded,
340,absence,3,4.335430000000001,176548,4.7772,0.186305523,10.29894352,-2.3661403659999998,news,
341,recession,0,4.20132,71662,-2.3369,0.1864256254,-2.438024521,47.51068115,news,
342,certain,3,3.78229,810182,1.9042,0.1865831952,27.72099686,17.4300518,expanded,
343,escalation,4,4.207380000000001,54346,0.3263,0.18734572010000003,17.46309471,-37.57619476,sci,
344,impacts,3,4.00596,61868,-0.5267,0.1876518327,4.28269434,10.64979362,news,
345,aphids,2,4.11835,3678,-1.6438,0.1882239949,-59.27083969,29.34666061,news,
346,intense,4,4.171209999999999,117621,1.8846,0.18859976120000002,16.64653397,-18.28020859,expanded,
347,continuing,4,3.41974,251664,-2.5114,0.18866050609999999,21.12472153,-3.168000698,news,
348,years,0,4.487769999999999,2729962,2.2421,0.18866226100000003,35.63751221,-9.446679115,news,
349,concerned,3,3.15665,426837,-0.8586,0.1887377031,27.58918762,11.23426056,news,
350,bugs,2,4.42514,7043,-1.08,0.18875855649999998,-61.57622147,26.88792801,expanded,
351,product,0,3.95115,1271841,-4.6768,0.1887808636,-11.74343967,36.30334091,expanded,
352,expanding,3,4.0865800000000005,123758,1.04,0.1890437376,20.69654083,10.10137081,news,
353,phenomenon,3,3.8214300000000003,65075,-2.9243,0.18906643609999998,13.84121037,10.99352932,expanded,
354,added,0,3.91296,1738821,-3.7045,0.1892300257,38.21171951,30.1533165,news,
355,analysts,0,3.51916,241307,1.6709,0.18935444839999999,36.32532501,39.62159729,news,
356,recent,0,3.9024199999999998,1757106,3.5458,0.1898878062,25.88742447,-3.99114418,news,
357,tensions,4,3.7877199999999998,164216,-0.7998,0.1902536273,12.99566936,-36.63372803,news,
358,bargain,0,3.72473,53052,-3.1979,0.1905613608,40.55492783,58.18416214,news,
359,fungal,2,4.18698,5909,4.7618,0.190772323,-48.42446899,18.10852051,expanded,
360,harvesting,2,4.49115,32141,3.4251,0.1909218207,-26.25068665,38.41890335,news,
361,rodents,2,4.384469999999999,10601,-2.1381,0.190932154,-52.53917694,33.68270111,expanded,
362,in,0,4.4526699999999995,10751410,0.7753,0.19147746510000002,37.46580505,5.2068290710000005,news,
363,global,3,3.69075,1037737,-1.7418,0.1915219109,13.14954662,14.80248356,sci,
364,renewed,4,3.99324,129455,4.3197,0.1919485109,19.69017029,-4.796537399,news,
365,significantly,0,3.73337,194355,4.787,0.19197408100000002,7.253398418,36.69400406,expanded,
366,thrive,2,4.139880000000001,73436,-0.17800000000000002,0.19206021550000002,-29.26416779,26.64598083,news,
367,factions,4,4.52123,126277,-4.0917,0.19219595539999998,31.05091095,-35.14131927,expanded,
368,soaring,0,3.5162199999999997,28966,0.1667,0.19243235879999998,18.24705505,55.61346436,news,
369,threatening,4,4.412730000000001,148245,3.09,0.1928641348,21.97813797,-13.06888485,news,
370,continues,3,3.36936,379869,-2.5764,0.1931470406,22.28266144,-2.051495552,news,
371,whatever,3,4.09898,289140,-1.2892,0.1933229187,35.26382446,14.63163185,news,
372,so,3,4.10205,9542792,-4.3052,0.1936031319,36.37314987,19.60160065,expanded,
373,famine,1,4.1386199999999995,84457,2.035,0.194125402,-43.68168259,-11.93930626,expanded,
374,declined,0,3.7568,283262,4.2498,0.1941806178,38.06155777,31.01602745,news,
375,not,3,4.07037,6837236,0.7795,0.1943792742,38.50018692,21.49356842,news,
376,under,3,4.598319999999999,3663920,1.5028,0.1945993503,36.05893326,-6.424046992999999,expanded,
377,sudan,4,4.41147,629888,2.8136,0.19465146379999998,52.04479599,-43.37906265,expanded,
378,carnivores,2,4.4619599999999995,7332,2.9869,0.19510798070000002,-50.54763031,35.90197372,expanded,
379,germs,2,4.46301,9643,-3.8003,0.1954660843,-51.09437943,16.30789757,news,
380,even,3,3.8825,4019237,3.9933,0.1955089482,35.87821198,19.95343971,expanded,
381,warring,4,4.37287,66629,4.8632,0.19553512010000001,30.14243126,-35.09688568,news,
382,slump,0,4.00784,66676,4.7526,0.1956174331,0.19293746350000002,49.07224274,expanded,
383,ladybugs,2,4.61612,4900,-1.9141,0.195981047,-60.59841537,32.63777542,news,
384,export,0,4.4533,483456,1.6187,0.1963209865,11.74977684,46.06659317,news,
385,improvement,3,4.21116,248879,1.3236,0.196445428,4.092092037,28.89759636,sci,
386,volatility,0,3.8025,115767,-3.2368,0.19655145010000002,12.41636753,32.63948059,news,
387,compared,0,3.29851,473846,2.779,0.1972085952,12.23254776,53.21809006,expanded,
388,amount,0,4.11691,598495,-4.6135,0.1972855521,16.26211548,39.22456741,news,
389,spite,3,3.9914,995184,-0.8881,0.19745267260000002,11.70030308,-4.580599785,news,
390,worsening,1,4.44195,51267,-1.1840000000000002,0.1975027238,1.5193305019999999,-25.96716881,sci,
391,trend,0,3.14425,356121,-3.341,0.19782765300000002,24.07073593,35.81375885,news,
392,solution,3,3.90596,795148,3.3822,0.1979184172,33.5002327,11.26547337,news,
393,impasse,4,4.313969999999999,33334,3.7944,0.1980365559,20.02293396,-29.61267281,expanded,
394,risen,0,2.96532,93335,4.3629,0.198481078,15.77311325,59.86797333,news,
395,focusing,3,3.56406,105931,0.4072,0.19891518519999998,22.35121918,10.00905323,news,
396,flow,3,4.6805699999999995,464210,-3.8161,0.19904486649999997,-0.7346925735,3.634983778,expanded,
397,insect,2,3.44664,30254,1.9446,0.1995964297,-51.33555222,26.27080536,expanded,
398,cease,4,4.41509,300934,0.4784,0.1996237138,26.50063896,-22.55070686,news,
399,isolation,4,4.3177900000000005,82182,-4.2846,0.19962588480000001,11.42084503,-7.97519207,sci,
400,relations,4,4.36736,890544,2.4768,0.1999799229,24.81820107,-0.7319389581999999,expanded,
401,worsen,3,4.5419599999999996,124850,3.9965,0.20022265890000002,0.47214907409999995,-27.07556915,news,
402,extremes,3,4.1421,7734,-0.1378,0.2003637692,-2.4172229769999998,-1.246000767,news,
403,struggle,4,3.4779400000000003,350524,2.4171,0.20050195769999998,33.09539413,-25.18915367,news,
404,poses,3,3.9679800000000003,260306,1.9164,0.20066253260000003,13.98127747,3.141596794,news,
405,measured,0,4.4036800000000005,62359,-1.2602,0.20098125719999999,9.132456779,28.55920792,expanded,
406,occupation,4,3.9157900000000003,107848,-2.8351,0.20134257519999998,42.25698471,-21.78919029,news,
407,necessarily,3,3.7804300000000004,127826,-0.1903,0.2016553363,32.25667953,14.53717327,news,
408,economy,0,4.30731,820721,-4.6492,0.20174894,4.177093983,23.531406399999998,sci,
409,certainly,3,3.6306800000000004,245264,-3.4508,0.2018608566,31.74544525,17.045084,expanded,
410,occurs,3,4.60516,40588,1.3919,0.2023044472,-5.394699574,6.736892699999999,expanded,
411,experts,3,4.02095,369818,4.5381,0.2023640498,26.35495758,11.44327927,news,
412,independence,4,4.64385,370907,0.8777,0.2030313097,46.91281509,-16.82741547,news,
413,harvests,1,4.1971,24727,2.1997,0.20304144829999998,-20.4094696,38.45083237,news,
414,severe,1,4.28993,275846,-4.0868,0.2034453752,-17.1737957,-1.259677768,news,
415,assessment,3,4.08915,232461,-1.1741,0.2040345793,22.77502823,12.62851238,news,
416,clearly,3,3.8392699999999995,324294,-2.1065,0.2042276348,30.39902115,18.28466797,news,
417,engaged,4,4.53264,305700,-0.3071,0.2042296008,50.07939529,-8.779364586,news,
418,amid,0,4.0595300000000005,498919,-2.3037,0.20453157460000002,14.4824152,-13.09638596,news,
419,coordinate,3,4.53332,154275,-2.9289,0.20473054440000002,19.78800011,5.957943439,expanded,
420,energy,3,4.37629,478112,0.2897,0.204802879,-7.853618145,34.08285141,news,
421,usage,0,4.56875,42244,0.904,0.20481979420000002,24.14352798,17.51372528,expanded,
422,stability,3,3.80415,477662,-2.2222,0.205291255,4.440593719,16.4943676,news,
423,territorial,4,4.68406,70468,-4.138999999999999,0.20535329100000002,45.99478149,-10.47023201,news,
424,eu,3,4.53263,2304181,4.2536,0.2053682762,42.26564407,3.276531458,news,
425,levels,3,4.233709999999999,447833,-2.9447,0.2054391373,10.85338306,30.3540287,expanded,
426,much,0,3.69138,1386187,-4.2948,0.20584036670000003,34.99738693,23.31547356,expanded,
427,hike,0,3.73035,74523,2.318,0.2059138864,25.10541534,56.75519562,news,
428,sales,0,3.21678,250857,-4.247,0.2060370353,36.32303619,58.75058746,expanded,
429,continual,4,4.754980000000001,45509,-2.9664,0.20606521449999998,-13.84479237,-17.32635498,sci,
430,unlikely,3,3.45645,138399,1.7027,0.2063313211,29.9253273,23.90707016,expanded,
431,worm,2,4.69539,30860,-1.6492,0.2063604009,-61.54302979,26.63473892,news,
432,markets,0,3.63869,381921,-2.2854,0.2065443217,34.27485657,64.3826828,news,
433,mean,3,3.47493,2067741,-0.6107,0.20664145109999998,33.11976624,14.73310184,expanded,
434,external,3,4.7755,206724,1.6551,0.2067451993,14.98852634,34.72364807,news,
435,governance,3,4.15799,342036,3.867,0.2067690103,0.10506325220000001,18.74283218,sci,
436,strikes,4,4.817159999999999,241922,-2.8503,0.2073761828,20.85621452,-18.70897102,news,
437,animosity,4,4.5084,23461,-4.5087,0.2076311455,7.723208904,-35.37761688,news,
438,does,3,3.8412900000000003,1212658,1.652,0.20764336390000002,40.79131699,21.26078796,news,
439,occur,3,4.349069999999999,394596,0.2906,0.20765865449999998,-3.69824028,6.584233761,expanded,
440,needs,3,3.64491,774209,-1.9603,0.20809229370000001,43.04276276,15.95535183,news,
441,follow,3,3.44443,2022800,-0.2418,0.2087359353,36.03074265,12.52419853,expanded,
442,rose,0,3.22313,883020,0.8006,0.2087560648,21.77121735,65.59250641,sci,
443,suffer,1,4.7121699999999995,672716,-3.1639999999999997,0.2088383436,-15.79618073,-6.053876877,news,
444,any,3,4.00138,5213450,-3.3403,0.20886851050000002,37.93082428,22.99178886,news,
445,production,0,4.49328,618938,-0.8537,0.2088963121,-11.75670624,37.28540039,expanded,
446,quarter,0,3.69009,716132,3.2865,0.2091686461,24.12156105,69.62306976,news,
447,declines,0,3.18729,24355,-4.0989,0.20917294420000002,19.49316216,50.42028427,news,
448,misery,1,4.70942,37298,2.202,0.2095827703,-4.203403473,-21.70389748,expanded,
449,massive,0,4.81813,312007,-1.8535,0.20958545829999997,-0.5877246261,-11.89103413,expanded,
450,exchange,0,3.93486,588033,3.2542,0.209755252,28.37813377,64.79032898,news,
451,this,3,3.35609,6040966,0.6747,0.2097896154,34.13107681,21.10443878,expanded,
452,feeding,2,4.85582,85162,-2.9429,0.2099795657,-33.32273102,32.32435989,news,
453,resulting,0,4.1719800000000005,137801,-2.5708,0.2100106321,4.391550064,0.34561333060000005,news,
454,rain,1,4.60999,1892956,-1.024,0.2102483838,-25.81743813,-59.02759552,news,
455,hunger,1,4.71361,118580,-2.4076,0.2103282712,1.183074832,-14.70644855,news,
456,balkans,4,3.7293199999999995,18980,-2.0881,0.21050958179999998,47.41666031,-44.82912064,expanded,
457,stalemate,4,4.014419999999999,39051,3.9703,0.21055012280000002,19.48062325,-30.32273865,expanded,
458,declining,0,3.2977300000000005,63840,-4.0069,0.2106791962,17.92046928,49.29392242,expanded,
459,sharp,0,3.4550699999999996,183560,-1.3718,0.2107152097,23.12849236,53.96496964,expanded,
460,surge,0,3.07039,736875,0.9489,0.2109515004,19.88498116,53.66692352,expanded,
461,cash,0,4.11131,389815,-1.9965,0.2113508416,39.66955566,48.81752014,news,
462,fowl,2,4.84586,12575,2.4364,0.2114867848,-40.34261322,30.95890045,news,
463,plunge,0,3.4494,93594,3.5772,0.21152993809999998,19.40013695,57.45793915,expanded,
464,ending,4,4.17605,1327563,1.8584,0.21243435170000002,32.93946838,-11.18836975,news,
465,movements,3,4.82097,124718,-2.5338,0.212791742,36.89963531,-21.78894424,expanded,
466,action,3,3.84415,1826917,3.5739,0.2128643514,46.92547607,-0.7527501583,news,
467,allergies,2,4.8144,6993,0.4617,0.2130155414,-57.86958313,2.8853304389999996,news,
468,overpopulation,2,4.89527,3447,4.1211,0.2131910068,-38.63847351,-5.766582489,expanded,
469,modest,0,3.48075,81632,3.74,0.2134626162,28.18128777,42.40116882,news,
470,oil,0,4.7842,1191575,-3.2194,0.2135668016,-7.08437109,35.74568558,sci,
471,softness,0,4.86747,8527,2.9836,0.2137564333,-57.17967987,-16.98161888,news,
472,organisms,2,4.85599,11612,-2.9239,0.2138916898,-52.77088928,19.36214066,expanded,
473,recovering,1,4.67854,55426,3.4343,0.2139104629,-12.95486546,-5.043677807,news,
474,monitoring,3,4.10285,266682,2.5916,0.2139507401,33.37188721,6.485386372000001,news,
475,warfare,4,4.57976,59831,-2.4493,0.2142729955,37.71168518,-28.429973600000004,news,
476,weather,3,4.27705,180187,-1.3444,0.21443079329999998,-27.60321426,-34.30078506,expanded,
477,effect,3,3.34904,1151015,-0.2775,0.2144948223,8.642279625,9.828920364,news,
478,plunged,0,4.20456,61188,2.2715,0.2147577315,18.65174294,62.19059372,expanded,
479,nature,3,3.78082,348610,-1.1789,0.21477119320000002,27.39262009,19.68535614,news,
480,decreased,0,4.0193,115802,-3.6469,0.2150151439,7.184566021,41.53773117,news,
481,monsoon,1,4.50951,9723,3.3112,0.21593122329999997,-31.08607292,-46.32064819,news,
482,consider,3,3.5546599999999997,1158140,-2.5753,0.2166277609,35.36657715,12.07364082,expanded,
483,seen,3,3.7024800000000004,923287,1.9352,0.2168034116,30.68434525,21.1595974,expanded,
484,breakdown,3,4.38213,87908,3.9825,0.2170615371,3.9531908039999997,-1.773759246,expanded,
485,emerging,3,3.6703300000000003,186692,-2.492,0.21766293679999998,13.77134895,14.227237699999998,expanded,
486,attributable,0,4.45787,28243,2.5678,0.21772809850000002,15.32819939,29.31270409,expanded,
487,expected,0,3.5508599999999997,1187896,1.65,0.2178194556,36.71876144,33.6171875,news,
488,plummeted,0,3.8149,30906,1.0938,0.2180947289,17.43631935,62.77135468,news,
489,sustainability,3,4.3984,74789,4.0509,0.21812459480000002,-0.4580703974,19.02815247,expanded,
490,resulted,0,4.2205,193480,-2.6971,0.2184023719,6.477808952,-0.5965884924,news,
491,must,3,3.96256,1503280,3.4416,0.21846264489999997,42.29135895,18.86431694,news,
492,possibility,3,3.40325,213160,-3.4684,0.21847919899999999,29.94721794,11.82719231,news,
493,soared,0,3.32271,43639,-3.6282,0.2185387453,18.33339882,63.54692459,news,
494,protection,3,4.57855,385411,0.7497,0.2186255685,53.78351974,2.001847029,expanded,
495,pollinators,2,4.68515,3657,-0.6939,0.21873848629999998,-49.06277466,38.31499863,sci,
496,sale,0,4.017580000000001,702293,-2.4499,0.2189302264,42.24301147,55.22486496,news,
497,demands,4,4.10789,249893,4.7895,0.21893212,45.92739868,3.6839380260000003,news,
498,country,3,3.95125,4130680,-2.761,0.21893450920000002,39.42591476,-0.21463608739999998,news,
499,forecast,0,4.15947,156258,1.4734,0.2194765401,33.09083176,41.37918091,news,
500,scarcity,1,4.7298599999999995,42834,1.1474,0.21982061809999998,-7.34589386,-25.49908829,news,
501,sustainable,3,4.4448,299617,3.7611,0.2199982149,-1.15046978,19.52531433,news,
502,organized,3,4.913930000000001,189570,-1.0848,0.22060986800000001,48.54732132,-6.5979967120000005,news,
503,supply,0,4.216819999999999,512744,0.5318,0.22061691989999999,-7.901699542999999,30.67099953,expanded,
504,waged,4,4.34665,34067,4.8355,0.22074808350000003,36.26579666,-36.61880493,news,
505,owing,0,3.7128400000000004,2232601,4.7698,0.2215756017,16.29055977,28.26746941,expanded,
506,warming,3,3.1171900000000003,46194,-2.1384,0.22223138329999997,6.810173035,12.95981979,expanded,
507,beset,4,4.75243,22921,0.5715,0.2223882335,4.443097591,-22.45322418,news,
508,crude,0,4.1478,202753,-0.069,0.2225322173,-6.9442582129999995,36.20528412,expanded,
509,constant,3,4.6615,208629,-0.3152,0.2229616277,-7.57077837,-3.6648278239999996,news,
510,be,3,4.01923,9907348,-2.3646,0.22304761239999998,37.79988098,21.44624138,expanded,
511,periodic,3,4.85082,53100,2.8667,0.2230834727,-13.95905781,-18.43963814,news,
512,autumn,3,4.779059999999999,20719,1.6367,0.22317677239999997,-24.95304298,5.885813712999999,expanded,
513,sustained,0,4.84618,194343,-1.4967,0.2232043634,-10.40277481,-6.310228348,sci,
514,investors,0,4.25305,347276,1.6898,0.2232379802,35.89710617,65.69155121,expanded,
515,political,4,4.01971,1751366,1.3466,0.2232655862,32.14305878,-21.15453529,news,
516,triggering,0,4.88298,24534,-3.3262,0.2239189164,12.98249531,-47.78039932,news,
517,drops,0,3.42596,37899,2.2668,0.22393626719999998,22.59410286,57.29040527,news,
518,public,3,4.44156,2514818,4.0575,0.2240791697,51.05054855,3.756550789,news,
519,shortages,1,4.2603,115577,-2.3531,0.2241744505,-10.03394699,-27.95864677,sci,
520,resistance,4,4.5559199999999995,205180,1.0353,0.22424282899999998,36.56035614,-22.82873917,sci,
521,decade,0,3.92478,542703,-3.3546,0.2243315236,34.83353806,-11.37563324,news,
522,less,0,3.79647,2002499,-4.1129,0.2243661696,34.77309036,24.59810257,expanded,
523,slide,0,3.4972300000000005,84285,0.8844,0.22474383539999998,21.06032944,57.64125824,expanded,
524,food,0,5.02895,806827,-2.4534,0.22475480109999998,-8.169248581,27.43478966,news,
525,will,3,3.9352699999999996,5652773,4.1874,0.22478213589999999,40.71944809,17.90513611,news,
526,vermin,2,4.40212,5415,-0.0551,0.22487323539999998,-58.60641479,35.08605194,news,
527,1997-98,1,4.7745,3679,-2.5331,0.22517344179999998,-6.067480087000001,-32.51634979,news,
528,infestations,2,3.63712,6811,-4.6451,0.2254308061,-60.23215866,22.24282455,news,
529,internecine,4,4.6023,10859,3.5609,0.2256169989,26.10936165,-39.4382515,expanded,
530,depends,3,3.4071,98122,4.0355,0.22563575449999998,32.86513138,12.44593716,news,
531,woes,0,4.5961,42930,-0.7737,0.2260380731,6.444802761,-19.84532547,expanded,
532,revenues,0,3.86533,139083,1.2083,0.22606389100000002,36.12029266,51.7836647,news,
533,measures,3,3.79586,515167,2.2418,0.22608993379999998,29.36424065,5.13617897,expanded,
534,war,4,3.49416,4557096,3.4443,0.22610879820000002,42.49219513,-24.50993538,expanded,
535,insecurity,4,4.44175,176186,3.9543,0.22616797600000002,2.59640646,-27.81587029,news,
536,wider,3,3.7148800000000004,102536,-4.5523,0.22622842829999998,20.250024800000002,11.09203815,news,
537,confrontations,4,4.48654,14924,-4.9438,0.2262988258,16.19939804,-42.38787079,expanded,
538,herbicide,2,4.8782,8935,1.9668,0.22644530129999998,-46.09067917,45.51981735,expanded,
539,cost,0,3.6214199999999996,991264,1.0259,0.226449624,38.28909302,46.77264404,news,
540,triggered,0,4.75663,89995,3.9981,0.22648505600000002,12.20726013,-48.48240662,expanded,
541,illness,1,5.01161,85061,4.74,0.22649771149999998,-17.91885948,-3.788011074,news,
542,sentiment,0,4.32937,114460,0.8668,0.2265555107,24.58823776,42.25282288,news,
543,biodiversity,3,4.83131,19774,-3.7916,0.2265859038,-6.522843837999999,17.49601936,sci,
544,separatists,4,4.82693,28657,1.3333,0.226587311,43.94561386,-39.7672081,expanded,
545,affecting,3,3.95306,117406,2.254,0.2266006469,0.9697715640000001,8.067982674,expanded,
546,nation,3,4.38764,5770727,-4.8082,0.226997246,39.20197296,-1.13170588,news,
547,nations,3,4.5208,1265772,3.984,0.22713108559999998,41.289814,1.65917027,news,
548,disputes,4,3.9713300000000005,95545,-1.6245,0.2275980719,22.78968811,-28.14587784,news,
549,countries,3,4.85002,1751108,3.9760000000000004,0.22767931239999997,41.16882706,1.591576695,news,
550,clear,3,3.54565,1437170,-2.7253,0.22796125239999998,31.10931587,19.56608009,news,
551,ecological,3,4.3339,25734,2.7564,0.2279665335,-5.637924194,16.19772911,news,
552,plagues,1,4.90372,10048,3.6057,0.228054938,-39.49848557,-6.649543762,news,
553,rather,3,3.69835,540821,0.0887,0.22817909320000002,34.23284912,17.11782074,sci,
554,termites,2,4.08031,11247,-2.0342,0.22825318960000002,-56.33936310000001,31.24967575,news,
555,slowed,0,4.1702900000000005,44736,-1.8378,0.22842053739999998,1.720113635,41.81137466,news,
556,precipitated,4,5.07076,10576,-4.728,0.2284974702,7.373983383,-25.25662231,expanded,
557,strain,1,4.99744,284036,3.4930000000000003,0.2285045413,-40.9929657,13.06839657,sci,
558,smallpox,2,4.75099,6383,-2.8397,0.2287025845,-51.00217438,6.980328083,news,
559,lasting,4,4.12849,143048,2.3764,0.2288742771,14.95418262,-4.4615883830000005,news,
560,discount,0,4.07859,179587,-2.4789,0.2288861555,39.83871078,54.36901855,news,
561,turn,3,3.81904,2363425,1.3975,0.229056487,37.28748703,16.11869431,news,
562,actually,3,4.02187,367730,-3.4706,0.22915872699999998,34.986866,18.55846024,expanded,
563,continue,3,3.4296699999999998,1924137,2.7789,0.2293326169,39.82882309,12.49566269,news,
564,risks,3,3.8725300000000002,207754,3.5185,0.2293890418,12.06760502,4.28227663,expanded,
565,reduced,0,3.43965,255308,2.37,0.22955644120000002,14.4604845,38.56610870000001,news,
566,slow,3,3.84723,341210,-0.9916,0.2296736162,25.88950539,45.39141464,news,
567,coming,3,3.73745,1290517,1.6401,0.2297443933,38.48499298,15.64466476,news,
568,rule,4,4.652430000000001,1018649,4.1808,0.2299254724,49.19729614,-16.27117157,news,
569,prolonged,1,4.4764800000000005,55089,0.0846,0.2299604832,-4.23226738,-13.39937496,expanded,
570,goods,0,4.45955,292527,1.5637,0.2301431816,11.13443089,47.0537529,news,
571,crisis,4,3.7760599999999998,706036,-0.4133,0.23044266870000002,10.74740314,-15.37046719,news,
572,come,3,3.83205,3278816,2.0128,0.2309588665,38.89608383,16.75544739,news,
573,easing,0,4.18323,683559,1.2573,0.23099540510000002,13.49000549,-8.200191497999999,expanded,
574,scourge,2,5.0686800000000005,45951,0.0294,0.23108955120000002,-40.57497406,-3.984745979,expanded,
575,microbes,2,3.95094,5147,-0.4738,0.2312663622,-53.05761719,18.66328049,expanded,
