,cause,cluster,dist,frequency,beta,p_value,tsne_x,tsne_y,"type: sci, news, expanded",new cluster after granger test
60,continued strife,4,2.9395700000000002,7199,9.2034,0.003817447169,27.90181923,-26.88761902,sci,3.0
61,ecological crisis,3,3.01156,9965,3.0816,0.0038522177480000003,2.493240595,14.02844238,sci,0.0
62,hunger crises,4,3.8712,9114,0.9376,0.003887391127,2.0461308959999998,-16.067379000000003,expanded,0.0
63,rising food prices,0,2.21937,7913,8.1683,0.003902937769,30.88861084,59.15981674,sci,2.0
64,restricted humanitarian access,3,4.1940599999999995,3627,4.5888,0.003906617894,50.42050934,9.57773304,sci,2.0
65,water availability,3,4.14099,9294,7.0105,0.004001483455,-10.31369114,29.73648071,news,2.0
66,alarming level,3,3.3586,9421,8.0077,0.004035280594999999,10.46249485,29.04272079,news,0.0
67,police torture,4,5.29588,10523,2.0129,0.0040818212849999995,55.32845306,-11.7245636,sci,2.0
68,potato blight,2,4.06646,7733,6.2276,0.004183455821,-31.35015869,48.86921692,expanded,1.0
69,the offensive,4,5.42249,34698,3.7846,0.004221019962,38.14049911,-18.00213814,sci,2.0
70,land invasions,4,4.73648,9037,5.2598,0.004332257448,-13.62805271,15.94067001,sci,4.0
71,clan warfare,4,4.16619,3623,0.8761,0.004336077386,36.74510956,-29.525150300000004,news,3.0
72,stolen food aid,0,4.42132,6058,4.3346,0.004381327702000001,46.34905243,8.946064949,expanded,2.0
73,politically engineered,3,4.39866,9713,1.0752,0.004433736893,28.07136917,23.050691600000004,sci,2.0
74,scanty rainfall,1,5.13141,6580,6.1668,0.004457219536,-38.22200012,-43.67277527,sci,2.0
75,water distribution shortages,3,4.07916,7384,4.7388,0.00454295933,-9.978650092999999,29.77479935,expanded,2.0
76,cattle death,0,4.5836,5608,7.8705,0.004547464542,-36.98609161,32.02803421,expanded,2.0
77,asylum seekers,3,5.81976,25558,3.0998,0.004568250744,40.06501389,-5.573541641,sci,2.0
